train_no,train_name,source,source_name,destination,destination_name,class,quota,days_before_journey,day_of_week,month,is_festival,past_avg_waitlist,past_punctuality,confirmation_chance,cancellation_rate,punctuality_rate
12505,North East Express,SBC,Bangalore,JP,Jaipur,3AC,TQ,2,0,12,1,173,82.02,46.93,54.14,83.84
15910,Avadh Assam Express,SBC,Bangalore,VSKP,Visakhapatnam,1AC,LD,0,5,5,0,40,73.46,87.91,10.69,74.62
15910,Avadh Assam Express,JP,Jaipur,CSMT,Mumbai CST,3AC,LD,1,3,12,1,87,60.26,71.32,25.33,57.14
12505,North East Express,BBS,Bhubaneswar,DBRG,Dibrugarh,3AC,TQ,3,1,8,0,180,94.45,58.55,38.21,93.57
12378,Padatik Express,DBRG,Dibrugarh,JP,Jaipur,3AC,TQ,3,5,8,0,31,93.73,99.72,2.21,95.64
15910,Avadh Assam Express,SCL,Silchar,GHY,Guwahati,1AC,GN,7,5,4,1,32,98.68,100.0,2.03,98.01
15666,BG Express,DBRG,Dibrugarh,PNBE,Patna,3AC,LD,2,0,6,0,132,93.84,63.65,39.15,96.59
15960,Kanchanjunga Express,AGTL,Agartala,HWH,Howrah,3AC,LD,1,0,11,0,65,98.75,83.14,13.37,97.33
15644,Kamakhya Express,BSB,Varanasi,PNBE,Patna,1AC,GN,3,4,4,0,37,93.06,89.29,8.09,96.82
15666,BG Express,BBS,Bhubaneswar,HWH,Howrah,SL,GN,5,1,10,1,8,88.29,100.0,2.06,91.22
15666,BG Express,SBC,Bangalore,PNBE,Patna,1AC,LD,6,3,11,0,0,87.2,100.0,0.0,89.32
15666,BG Express,BSB,Varanasi,RNC,Ranchi,SL,TQ,0,5,6,0,83,97.76,79.25,22.78,93.71
12378,Padatik Express,BBS,Bhubaneswar,DBRG,Dibrugarh,1AC,TQ,0,3,7,1,104,63.38,60.48,36.2,65.55
12501,Poorvottar Sampark Kranti,MAS,Chennai Central,BBS,Bhubaneswar,1AC,TQ,5,4,7,0,7,80.61,100.0,0.0,81.73
15644,Kamakhya Express,PNBE,Patna,BBS,Bhubaneswar,3AC,LD,1,1,3,1,36,61.05,92.02,4.74,59.19
12423,Rajdhani Express,NDLS,New Delhi,DBRG,Dibrugarh,3AC,GN,6,5,9,0,148,68.84,81.84,14.21,66.85
15960,Kanchanjunga Express,RNC,Ranchi,SDAH,Sealdah,3AC,LD,7,0,9,0,44,74.45,100.0,2.31,73.2
15644,Kamakhya Express,KOAA,Kolkata,JP,Jaipur,2AC,GN,0,1,7,1,75,68.43,84.42,18.66,70.08
12001,Shatabdi Express,RNC,Ranchi,NDLS,New Delhi,3AC,GN,1,3,5,0,105,98.06,70.22,30.36,102.81
12378,Padatik Express,ADI,Ahmedabad,PNBE,Patna,1AC,LD,0,5,10,0,176,88.31,53.48,50.68,92.43
15910,Avadh Assam Express,DBRG,Dibrugarh,MAS,Chennai Central,3AC,TQ,1,3,8,0,195,88.15,41.74,61.05,86.2
12423,Rajdhani Express,NDLS,New Delhi,SCL,Silchar,1AC,TQ,7,2,7,0,114,85.65,86.31,13.95,80.89
15960,Kanchanjunga Express,VSKP,Visakhapatnam,KOAA,Kolkata,2AC,TQ,6,4,7,1,146,88.88,71.48,25.85,89.18
12501,Poorvottar Sampark Kranti,HWH,Howrah,BBS,Bhubaneswar,3AC,GN,6,6,5,1,159,80.33,63.82,39.43,84.39
15644,Kamakhya Express,DBRG,Dibrugarh,PNBE,Patna,3AC,LD,3,6,11,0,110,61.69,76.85,26.44,66.14
15644,Kamakhya Express,BBS,Bhubaneswar,VSKP,Visakhapatnam,2AC,TQ,1,1,8,1,111,93.74,71.52,32.55,94.39
15960,Kanchanjunga Express,PNBE,Patna,SBC,Bangalore,1AC,LD,1,1,12,0,122,78.16,74.25,27.19,79.27
15666,BG Express,SDAH,Sealdah,KOAA,Kolkata,1AC,LD,7,0,2,0,125,75.5,89.58,7.36,76.73
12501,Poorvottar Sampark Kranti,PNBE,Patna,SDAH,Sealdah,1AC,GN,2,0,9,0,182,62.13,52.61,49.55,65.53
15910,Avadh Assam Express,DBRG,Dibrugarh,BSB,Varanasi,3AC,GN,0,4,9,1,46,80.32,96.02,4.06,80.61
12501,Poorvottar Sampark Kranti,SBC,Bangalore,PNBE,Patna,1AC,TQ,1,3,3,1,58,84.41,95.38,3.52,80.95
12501,Poorvottar Sampark Kranti,NDLS,New Delhi,KOAA,Kolkata,3AC,GN,1,3,1,0,137,61.98,70.46,31.48,66.81
12001,Shatabdi Express,RNC,Ranchi,DBRG,Dibrugarh,1AC,LD,0,0,3,1,41,63.58,87.31,8.02,58.71
