train_no,train_name,source,source_name,destination,destination_name
12505,North East Express,SBC,Bangalore,JP,Jaipur
15910,Avadh Assam Express,SBC,Bangalore,VSKP,Visakhapatnam
15910,Avadh Assam Express,JP,Jaipur,CSMT,Mumbai CST
12505,North East Express,BBS,Bhubaneswar,DBRG,Dibrugarh
12378,Padatik Express,DBRG,Dibrugarh,JP,Jaipur
15910,Avadh Assam Express,SCL,Silchar,GHY,Guwahati
15666,BG Express,DBRG,Dibrugarh,PNBE,Patna
15960,Kanchanjunga Express,AGTL,Agartala,HWH,Howrah
15644,Kamakhya Express,BSB,Varanasi,PNBE,Patna
15666,BG Express,BBS,Bhubaneswar,HWH,Howrah
15666,BG Express,SBC,Bangalore,PNBE,Patna
15666,BG Express,BSB,Varanasi,RNC,Ranchi
12378,Padatik Express,BBS,Bhubaneswar,DBRG,Dibrugarh
12501,Poorvottar Sampark Kranti,MAS,Chennai Central,BBS,Bhubaneswar
15644,Kamakhya Express,PNBE,Patna,BBS,Bhubaneswar
12423,Rajdhani Express,NDLS,New Delhi,DBRG,Dibrugarh
15960,Kanchanjunga Express,RNC,Ranchi,SDAH,Sealdah
15644,Kamakhya Express,KOAA,Kolkata,JP,Jaipur
12001,Shatabdi Express,RNC,Ranchi,NDLS,New Delhi
12378,Padatik Express,ADI,Ahmedabad,PNBE,Patna
15910,Avadh Assam Express,DBRG,Dibrugarh,MAS,Chennai Central
12423,Rajdhani Express,NDLS,New Delhi,SCL,Silchar
15960,Kanchanjunga Express,VSKP,Visakhapatnam,KOAA,Kolkata
12501,Poorvottar Sampark Kranti,HWH,Howrah,BBS,Bhubaneswar
15644,Kamakhya Express,DBRG,Dibrugarh,PNBE,Patna
15644,Kamakhya Express,BBS,Bhubaneswar,VSKP,Visakhapatnam
15960,Kanchanjunga Express,PNBE,Patna,SBC,Bangalore
15666,BG Express,SDAH,Sealdah,KOAA,Kolkata
12501,Poorvottar Sampark Kranti,PNBE,Patna,SDAH,Sealdah
15910,Avadh Assam Express,DBRG,Dibrugarh,BSB,Varanasi
12501,Poorvottar Sampark Kranti,SBC,Bangalore,PNBE,Patna
12501,Poorvottar Sampark Kranti,NDLS,New Delhi,KOAA,Kolkata
12001,Shatabdi Express,RNC,Ranchi,DBRG,Dibrugarh
12423,Rajdhani Express,VSKP,Visakhapatnam,SDAH,Sealdah
12423,Rajdhani Express,CSMT,Mumbai CST,JP,Jaipur
12345,Saraighat Express,GHY,Guwahati,VSKP,Visakhapatnam
12001,Shatabdi Express,AGTL,Agartala,BBS,Bhubaneswar
12001,Shatabdi Express,AGTL,Agartala,JP,Jaipur
12345,Saraighat Express,CSMT,Mumbai CST,VSKP,Visakhapatnam
15644,Kamakhya Express,RNC,Ranchi,SCL,Silchar
15960,Kanchanjunga Express,PNBE,Patna,MAS,Chennai Central
12501,Poorvottar Sampark Kranti,AGTL,Agartala,BBS,Bhubaneswar
12423,Rajdhani Express,MAS,Chennai Central,SBC,Bangalore
12423,Rajdhani Express,BBS,Bhubaneswar,DBRG,Dibrugarh
12501,Poorvottar Sampark Kranti,GHY,Guwahati,MAS,Chennai Central
12505,North East Express,JP,Jaipur,SDAH,Sealdah
12378,Padatik Express,BBS,Bhubaneswar,RNC,Ranchi
12505,North East Express,SCL,Silchar,NDLS,New Delhi
12505,North East Express,RNC,Ranchi,BBS,Bhubaneswar
12345,Saraighat Express,JP,Jaipur,VSKP,Visakhapatnam
12378,Padatik Express,VSKP,Visakhapatnam,DBRG,Dibrugarh
12001,Shatabdi Express,SDAH,Sealdah,CSMT,Mumbai CST
15644,Kamakhya Express,JP,Jaipur,SBC,Bangalore
12001,Shatabdi Express,SDAH,Sealdah,MAS,Chennai Central
15666,BG Express,HWH,Howrah,MAS,Chennai Central
12505,North East Express,NDLS,New Delhi,CSMT,Mumbai CST
12505,North East Express,CSMT,Mumbai CST,SDAH,Sealdah
12001,Shatabdi Express,BSB,Varanasi,CSMT,Mumbai CST
15910,Avadh Assam Express,SCL,Silchar,JP,Jaipur
12423,Rajdhani Express,SCL,Silchar,SDAH,Sealdah
12501,Poorvottar Sampark Kranti,SCL,Silchar,CSMT,Mumbai CST
12505,North East Express,KOAA,Kolkata,SCL,Silchar
12378,Padatik Express,PNBE,Patna,DBRG,Dibrugarh
15960,Kanchanjunga Express,AGTL,Agartala,BSB,Varanasi
15666,BG Express,MAS,Chennai Central,CSMT,Mumbai CST
15666,BG Express,SBC,Bangalore,GHY,Guwahati
12378,Padatik Express,PNBE,Patna,KOAA,Kolkata
12505,North East Express,NDLS,New Delhi,BBS,Bhubaneswar
15960,Kanchanjunga Express,SDAH,Sealdah,GHY,Guwahati
15644,Kamakhya Express,MAS,Chennai Central,ADI,Ahmedabad
12001,Shatabdi Express,SBC,Bangalore,DBRG,Dibrugarh
15910,Avadh Assam Express,ADI,Ahmedabad,SDAH,Sealdah
12345,Saraighat Express,BSB,Varanasi,SBC,Bangalore
12505,North East Express,KOAA,Kolkata,RNC,Ranchi
15644,Kamakhya Express,NDLS,New Delhi,PNBE,Patna
12423,Rajdhani Express,VSKP,Visakhapatnam,JP,Jaipur
15910,Avadh Assam Express,KOAA,Kolkata,BSB,Varanasi
15960,Kanchanjunga Express,MAS,Chennai Central,DBRG,Dibrugarh
15644,Kamakhya Express,BSB,Varanasi,BBS,Bhubaneswar
12345,Saraighat Express,CSMT,Mumbai CST,SCL,Silchar
12501,Poorvottar Sampark Kranti,VSKP,Visakhapatnam,JP,Jaipur
12345,Saraighat Express,PNBE,Patna,HWH,Howrah
15644,Kamakhya Express,SDAH,Sealdah,DBRG,Dibrugarh
12505,North East Express,HWH,Howrah,JP,Jaipur
12378,Padatik Express,MAS,Chennai Central,SDAH,Sealdah
15644,Kamakhya Express,RNC,Ranchi,PNBE,Patna
12001,Shatabdi Express,SDAH,Sealdah,BBS,Bhubaneswar
12505,North East Express,SBC,Bangalore,SCL,Silchar
12423,Rajdhani Express,VSKP,Visakhapatnam,CSMT,Mumbai CST
15644,Kamakhya Express,JP,Jaipur,NDLS,New Delhi
12345,Saraighat Express,KOAA,Kolkata,DBRG,Dibrugarh
15910,Avadh Assam Express,NDLS,New Delhi,JP,Jaipur
12423,Rajdhani Express,KOAA,Kolkata,ADI,Ahmedabad
15644,Kamakhya Express,BBS,Bhubaneswar,MAS,Chennai Central
15644,Kamakhya Express,DBRG,Dibrugarh,AGTL,Agartala
12001,Shatabdi Express,SDAH,Sealdah,BSB,Varanasi
15666,BG Express,KOAA,Kolkata,RNC,Ranchi
15910,Avadh Assam Express,ADI,Ahmedabad,RNC,Ranchi
15644,Kamakhya Express,PNBE,Patna,ADI,Ahmedabad
15644,Kamakhya Express,HWH,Howrah,BBS,Bhubaneswar
15644,Kamakhya Express,KOAA,Kolkata,CSMT,Mumbai CST
12001,Shatabdi Express,HWH,Howrah,BBS,Bhubaneswar
15960,Kanchanjunga Express,BSB,Varanasi,DBRG,Dibrugarh
12001,Shatabdi Express,NDLS,New Delhi,SDAH,Sealdah
15960,Kanchanjunga Express,SCL,Silchar,BSB,Varanasi
12505,North East Express,BSB,Varanasi,ADI,Ahmedabad
12001,Shatabdi Express,BBS,Bhubaneswar,AGTL,Agartala
15644,Kamakhya Express,SBC,Bangalore,BSB,Varanasi
12501,Poorvottar Sampark Kranti,ADI,Ahmedabad,KOAA,Kolkata
12501,Poorvottar Sampark Kranti,HWH,Howrah,KOAA,Kolkata
15666,BG Express,SDAH,Sealdah,CSMT,Mumbai CST
12001,Shatabdi Express,NDLS,New Delhi,PNBE,Patna
12345,Saraighat Express,CSMT,Mumbai CST,JP,Jaipur
12501,Poorvottar Sampark Kranti,AGTL,Agartala,DBRG,Dibrugarh
12505,North East Express,BSB,Varanasi,AGTL,Agartala
12378,Padatik Express,SCL,Silchar,AGTL,Agartala
12378,Padatik Express,BBS,Bhubaneswar,GHY,Guwahati
12505,North East Express,SDAH,Sealdah,BSB,Varanasi
12378,Padatik Express,SBC,Bangalore,JP,Jaipur
12423,Rajdhani Express,SDAH,Sealdah,NDLS,New Delhi
12378,Padatik Express,GHY,Guwahati,BSB,Varanasi
12505,North East Express,NDLS,New Delhi,JP,Jaipur
12378,Padatik Express,BBS,Bhubaneswar,MAS,Chennai Central
12345,Saraighat Express,MAS,Chennai Central,RNC,Ranchi
15644,Kamakhya Express,NDLS,New Delhi,MAS,Chennai Central
12345,Saraighat Express,VSKP,Visakhapatnam,SCL,Silchar
12501,Poorvottar Sampark Kranti,HWH,Howrah,ADI,Ahmedabad
12501,Poorvottar Sampark Kranti,VSKP,Visakhapatnam,ADI,Ahmedabad
15960,Kanchanjunga Express,JP,Jaipur,RNC,Ranchi
15666,BG Express,BSB,Varanasi,DBRG,Dibrugarh
15644,Kamakhya Express,BSB,Varanasi,JP,Jaipur
12345,Saraighat Express,BSB,Varanasi,NDLS,New Delhi
12001,Shatabdi Express,CSMT,Mumbai CST,PNBE,Patna
15910,Avadh Assam Express,BSB,Varanasi,SCL,Silchar
12001,Shatabdi Express,SDAH,Sealdah,DBRG,Dibrugarh
12505,North East Express,GHY,Guwahati,VSKP,Visakhapatnam
15960,Kanchanjunga Express,MAS,Chennai Central,JP,Jaipur
12378,Padatik Express,AGTL,Agartala,VSKP,Visakhapatnam
12001,Shatabdi Express,DBRG,Dibrugarh,NDLS,New Delhi
12001,Shatabdi Express,PNBE,Patna,AGTL,Agartala
15910,Avadh Assam Express,ADI,Ahmedabad,GHY,Guwahati
12505,North East Express,SCL,Silchar,SBC,Bangalore
15644,Kamakhya Express,SDAH,Sealdah,SBC,Bangalore
15666,BG Express,CSMT,Mumbai CST,BSB,Varanasi
15666,BG Express,ADI,Ahmedabad,NDLS,New Delhi
15666,BG Express,CSMT,Mumbai CST,SBC,Bangalore
12423,Rajdhani Express,HWH,Howrah,CSMT,Mumbai CST
15644,Kamakhya Express,GHY,Guwahati,HWH,Howrah
15910,Avadh Assam Express,JP,Jaipur,DBRG,Dibrugarh
15644,Kamakhya Express,MAS,Chennai Central,KOAA,Kolkata
12345,Saraighat Express,MAS,Chennai Central,AGTL,Agartala
15960,Kanchanjunga Express,MAS,Chennai Central,SBC,Bangalore
15910,Avadh Assam Express,MAS,Chennai Central,SCL,Silchar
15910,Avadh Assam Express,GHY,Guwahati,BBS,Bhubaneswar
15910,Avadh Assam Express,BBS,Bhubaneswar,SBC,Bangalore
15666,BG Express,SBC,Bangalore,BBS,Bhubaneswar
12501,Poorvottar Sampark Kranti,AGTL,Agartala,RNC,Ranchi
15960,Kanchanjunga Express,GHY,Guwahati,NDLS,New Delhi
12423,Rajdhani Express,NDLS,New Delhi,PNBE,Patna
12345,Saraighat Express,RNC,Ranchi,DBRG,Dibrugarh
15666,BG Express,SDAH,Sealdah,PNBE,Patna
15910,Avadh Assam Express,JP,Jaipur,SCL,Silchar
12345,Saraighat Express,HWH,Howrah,CSMT,Mumbai CST
12378,Padatik Express,MAS,Chennai Central,VSKP,Visakhapatnam
12345,Saraighat Express,JP,Jaipur,RNC,Ranchi
15644,Kamakhya Express,RNC,Ranchi,JP,Jaipur
12501,Poorvottar Sampark Kranti,GHY,Guwahati,BBS,Bhubaneswar
12501,Poorvottar Sampark Kranti,AGTL,Agartala,SCL,Silchar
15960,Kanchanjunga Express,MAS,Chennai Central,ADI,Ahmedabad
15644,Kamakhya Express,NDLS,New Delhi,KOAA,Kolkata
12423,Rajdhani Express,VSKP,Visakhapatnam,KOAA,Kolkata
12345,Saraighat Express,PNBE,Patna,KOAA,Kolkata
15644,Kamakhya Express,SBC,Bangalore,GHY,Guwahati
12378,Padatik Express,JP,Jaipur,RNC,Ranchi
12505,North East Express,VSKP,Visakhapatnam,HWH,Howrah
15666,BG Express,GHY,Guwahati,MAS,Chennai Central
15960,Kanchanjunga Express,PNBE,Patna,VSKP,Visakhapatnam
15960,Kanchanjunga Express,HWH,Howrah,SDAH,Sealdah
15644,Kamakhya Express,HWH,Howrah,DBRG,Dibrugarh
12345,Saraighat Express,KOAA,Kolkata,ADI,Ahmedabad
12501,Poorvottar Sampark Kranti,CSMT,Mumbai CST,HWH,Howrah
12001,Shatabdi Express,ADI,Ahmedabad,AGTL,Agartala
15666,BG Express,GHY,Guwahati,SCL,Silchar
15910,Avadh Assam Express,SBC,Bangalore,PNBE,Patna
12001,Shatabdi Express,SDAH,Sealdah,PNBE,Patna
15666,BG Express,AGTL,Agartala,BBS,Bhubaneswar
15910,Avadh Assam Express,AGTL,Agartala,SDAH,Sealdah
12001,Shatabdi Express,BBS,Bhubaneswar,RNC,Ranchi
12345,Saraighat Express,RNC,Ranchi,HWH,Howrah
12345,Saraighat Express,GHY,Guwahati,SDAH,Sealdah
15960,Kanchanjunga Express,BBS,Bhubaneswar,GHY,Guwahati
12501,Poorvottar Sampark Kranti,NDLS,New Delhi,SBC,Bangalore
15960,Kanchanjunga Express,JP,Jaipur,HWH,Howrah
15666,BG Express,VSKP,Visakhapatnam,GHY,Guwahati
12378,Padatik Express,PNBE,Patna,RNC,Ranchi
12505,North East Express,CSMT,Mumbai CST,ADI,Ahmedabad
15644,Kamakhya Express,KOAA,Kolkata,NDLS,New Delhi
12001,Shatabdi Express,ADI,Ahmedabad,SCL,Silchar
12001,Shatabdi Express,CSMT,Mumbai CST,GHY,Guwahati
12378,Padatik Express,RNC,Ranchi,NDLS,New Delhi
15644,Kamakhya Express,SDAH,Sealdah,AGTL,Agartala
15644,Kamakhya Express,MAS,Chennai Central,JP,Jaipur
15644,Kamakhya Express,MAS,Chennai Central,AGTL,Agartala
12501,Poorvottar Sampark Kranti,JP,Jaipur,SDAH,Sealdah
15910,Avadh Assam Express,MAS,Chennai Central,BBS,Bhubaneswar
15960,Kanchanjunga Express,DBRG,Dibrugarh,JP,Jaipur
12423,Rajdhani Express,JP,Jaipur,SDAH,Sealdah
12505,North East Express,GHY,Guwahati,JP,Jaipur
15960,Kanchanjunga Express,SBC,Bangalore,BSB,Varanasi
12505,North East Express,AGTL,Agartala,GHY,Guwahati
12501,Poorvottar Sampark Kranti,MAS,Chennai Central,SCL,Silchar
15666,BG Express,ADI,Ahmedabad,RNC,Ranchi
15644,Kamakhya Express,PNBE,Patna,NDLS,New Delhi
15910,Avadh Assam Express,GHY,Guwahati,ADI,Ahmedabad
12423,Rajdhani Express,KOAA,Kolkata,GHY,Guwahati
12423,Rajdhani Express,MAS,Chennai Central,NDLS,New Delhi
12505,North East Express,MAS,Chennai Central,RNC,Ranchi
12001,Shatabdi Express,PNBE,Patna,MAS,Chennai Central
12505,North East Express,KOAA,Kolkata,GHY,Guwahati
12505,North East Express,GHY,Guwahati,AGTL,Agartala
15644,Kamakhya Express,PNBE,Patna,DBRG,Dibrugarh
12505,North East Express,SCL,Silchar,BSB,Varanasi
15644,Kamakhya Express,SCL,Silchar,SBC,Bangalore
12501,Poorvottar Sampark Kranti,NDLS,New Delhi,GHY,Guwahati
12001,Shatabdi Express,CSMT,Mumbai CST,MAS,Chennai Central
15910,Avadh Assam Express,SDAH,Sealdah,RNC,Ranchi
15960,Kanchanjunga Express,AGTL,Agartala,SCL,Silchar
12378,Padatik Express,VSKP,Visakhapatnam,SBC,Bangalore
12378,Padatik Express,MAS,Chennai Central,HWH,Howrah
12378,Padatik Express,MAS,Chennai Central,ADI,Ahmedabad
15666,BG Express,ADI,Ahmedabad,PNBE,Patna
12423,Rajdhani Express,BBS,Bhubaneswar,GHY,Guwahati
12378,Padatik Express,BSB,Varanasi,JP,Jaipur
12423,Rajdhani Express,KOAA,Kolkata,JP,Jaipur
12505,North East Express,DBRG,Dibrugarh,NDLS,New Delhi
15910,Avadh Assam Express,SBC,Bangalore,BSB,Varanasi
15666,BG Express,SCL,Silchar,DBRG,Dibrugarh
15910,Avadh Assam Express,DBRG,Dibrugarh,NDLS,New Delhi
15960,Kanchanjunga Express,SDAH,Sealdah,MAS,Chennai Central
12423,Rajdhani Express,CSMT,Mumbai CST,GHY,Guwahati
12345,Saraighat Express,BBS,Bhubaneswar,VSKP,Visakhapatnam
12423,Rajdhani Express,MAS,Chennai Central,SCL,Silchar
12501,Poorvottar Sampark Kranti,GHY,Guwahati,PNBE,Patna
15960,Kanchanjunga Express,RNC,Ranchi,CSMT,Mumbai CST
12501,Poorvottar Sampark Kranti,GHY,Guwahati,KOAA,Kolkata
12378,Padatik Express,GHY,Guwahati,HWH,Howrah
12001,Shatabdi Express,SDAH,Sealdah,RNC,Ranchi
15666,BG Express,AGTL,Agartala,BSB,Varanasi
15960,Kanchanjunga Express,SDAH,Sealdah,SCL,Silchar
15910,Avadh Assam Express,HWH,Howrah,PNBE,Patna
15666,BG Express,AGTL,Agartala,CSMT,Mumbai CST
12423,Rajdhani Express,SDAH,Sealdah,GHY,Guwahati
12001,Shatabdi Express,BSB,Varanasi,AGTL,Agartala
12345,Saraighat Express,SCL,Silchar,CSMT,Mumbai CST
15644,Kamakhya Express,CSMT,Mumbai CST,BBS,Bhubaneswar
12423,Rajdhani Express,RNC,Ranchi,VSKP,Visakhapatnam
12378,Padatik Express,SBC,Bangalore,NDLS,New Delhi
15960,Kanchanjunga Express,CSMT,Mumbai CST,PNBE,Patna
15910,Avadh Assam Express,SCL,Silchar,ADI,Ahmedabad
12001,Shatabdi Express,BSB,Varanasi,RNC,Ranchi
12378,Padatik Express,PNBE,Patna,GHY,Guwahati
12423,Rajdhani Express,SBC,Bangalore,SCL,Silchar
12378,Padatik Express,JP,Jaipur,CSMT,Mumbai CST
12423,Rajdhani Express,HWH,Howrah,GHY,Guwahati
15666,BG Express,BBS,Bhubaneswar,MAS,Chennai Central
15910,Avadh Assam Express,BSB,Varanasi,AGTL,Agartala
12345,Saraighat Express,AGTL,Agartala,NDLS,New Delhi
12378,Padatik Express,VSKP,Visakhapatnam,SDAH,Sealdah
12345,Saraighat Express,BSB,Varanasi,AGTL,Agartala
12378,Padatik Express,PNBE,Patna,BSB,Varanasi
12423,Rajdhani Express,DBRG,Dibrugarh,SBC,Bangalore
12505,North East Express,VSKP,Visakhapatnam,RNC,Ranchi
15960,Kanchanjunga Express,SDAH,Sealdah,SBC,Bangalore
15910,Avadh Assam Express,AGTL,Agartala,NDLS,New Delhi
12505,North East Express,KOAA,Kolkata,BSB,Varanasi
12345,Saraighat Express,DBRG,Dibrugarh,BSB,Varanasi
15910,Avadh Assam Express,HWH,Howrah,ADI,Ahmedabad
15960,Kanchanjunga Express,MAS,Chennai Central,RNC,Ranchi
12423,Rajdhani Express,BBS,Bhubaneswar,SCL,Silchar
15960,Kanchanjunga Express,KOAA,Kolkata,CSMT,Mumbai CST
