train_no,train_name,source_code,source_name,destination_code,destination_name,class,days_before_journey,weekday,month,punctuality_rate,avg_waitlist,confirmation_chance
41508,Ahmedabad-Ernakulam Jn Intercity Express,ADI,Ahmedabad,ERS,Ernakulam Jn,2S,33,3,10,61.77,444,12.79%
96510,Mumbai Central-Lucknow Jn Express,BCT,Mumbai Central,LJN,Lucknow Jn,2S,21,1,3,89.27,53,87.39%
34685,Lucknow Jn-Howrah Mail Express,LJN,Lucknow Jn,HWH,Howrah,2A,116,0,9,69.13,87,46.67%
71245,Alipurduar Jn-Patna Jn Superfast Express,APDJ,Alipurduar Jn,PNBE,Patna Jn,CC,90,6,8,90.1,453,5%
30978,Shalimar-Coimbatore Intercity Express,SHM,Shalimar,CBE,Coimbatore,2A,13,1,8,83.39,426,19.79%
97534,Amritsar-Hazrat Nizamuddin Superfast Express,ASR,Amritsar,NZM,Hazrat Nizamuddin,CC,66,1,8,95.12,490,5%
29472,Cuttack-Kochuveli Intercity Express,CTC,Cuttack,KCVL,Kochuveli,2A,54,6,12,97.99,57,73.04%
74103,Bangalore City-Lumding Jn Mail Express,SBC,Bangalore City,LMG,Lumding Jn,SL,0,4,10,85.98,264,53.09%
77441,Kokrajhar-Ahmedabad Express,KOJ,Kokrajhar,ADI,Ahmedabad,3A,9,3,9,64.27,118,75.35%
73157,Dimapur-Patna Jn Superfast Express,DMV,Dimapur,PNBE,Patna Jn,CC,81,2,11,60.12,227,34.54%
98211,Bangalore City-Mumbai Central Superfast Express,SBC,Bangalore City,BCT,Mumbai Central,CC,101,1,8,64.93,114,42.95%
61393,Chhatrapati Shivaji Maharaj Terminus-Dimapur Mail Express,CSMT,Chhatrapati Shivaji Maharaj Terminus,DMV,Dimapur,CC,39,6,6,70.66,86,70.8%
19637,Cuttack-Shoranur Jn Intercity Express,CTC,Cuttack,SRR,Shoranur Jn,SL,1,0,6,94.25,451,28.64%
64438,Lumding Jn-Bikaner Superfast Express,LMG,Lumding Jn,BKN,Bikaner,3A,66,1,4,86.0,259,39.01%
28837,Shoranur Jn-Dibrugarh Intercity Express,SRR,Shoranur Jn,DBRG,Dibrugarh,2S,3,5,9,64.97,261,58.61%
36822,Kolkata-Thiruvananthapuram Central Superfast Express,KOAA,Kolkata,TVC,Thiruvananthapuram Central,CC,103,1,12,99.7,29,64.94%
32032,Jammu Tawi-Bikaner Express,JAT,Jammu Tawi,BKN,Bikaner,SL,70,6,3,79.25,499,5%
61494,Kharagpur Jn-Gaya Jn Superfast Express,KGP,Kharagpur Jn,GAYA,Gaya Jn,2S,8,2,7,74.16,237,60.53%
44429,Patna Jn-New Delhi Superfast Express,PNBE,Patna Jn,NDLS,New Delhi,3A,30,1,12,95.37,413,16.5%
25396,Bhopal-New Tinsukia Mail Express,BPL,Bhopal,NTSK,New Tinsukia,SL,114,3,1,76.44,348,5.45%
30921,Patna Jn-Chennai Egmore Express,PNBE,Patna Jn,MS,Chennai Egmore,2A,11,0,10,90.62,119,79.39%
10716,Bikaner-Pune Superfast Express,BKN,Bikaner,PUNE,Pune,2S,13,4,6,77.23,47,86.2%
61231,New Delhi-Cuttack Superfast Express,NDLS,New Delhi,CTC,Cuttack,1A,26,5,2,83.8,250,53.08%
45945,Alipurduar Jn-Chennai Egmore Express,APDJ,Alipurduar Jn,MS,Chennai Egmore,2S,63,4,2,62.28,249,42.23%
56357,Ranchi-Mumbai Central Express,RNC,Ranchi,BCT,Mumbai Central,2A,83,1,1,79.43,323,17.64%
34651,Darbhanga-Mumbai Central Express,DBG,Darbhanga,MMCT,Mumbai Central,1A,117,2,9,95.85,146,32.96%
13352,Delhi Sarai Rohilla-Kanpur Central Express,DEE,Delhi Sarai Rohilla,CNB,Kanpur Central,2A,23,6,5,92.26,200,58.49%
97672,Lucknow Jn-Gaya Jn Mail Express,LJN,Lucknow Jn,GAYA,Gaya Jn,2A,34,3,4,71.94,286,37.47%
82235,Amritsar-Howrah Superfast Express,ASR,Amritsar,HWH,Howrah,1A,42,6,3,90.71,483,6.26%
86064,Chhatrapati Shivaji Maharaj Terminus-Delhi Jn Mail Express,CSMT,Chhatrapati Shivaji Maharaj Terminus,DLI,Delhi Jn,3A,49,6,8,88.66,112,66.24%
42234,Chennai Central-Haridwar Intercity Express,MAS,Chennai Central,HW,Haridwar,2A,20,5,12,60.97,230,50.34%
21165,Rourkela-Jammu Tawi Express,ROU,Rourkela,JAT,Jammu Tawi,SL,77,0,4,81.95,338,16.14%
18553,Dibrugarh-Pune Express,DBRG,Dibrugarh,PUNE,Pune,1A,12,4,10,96.82,275,52.7%
18486,Silchar-Vijayawada Superfast Express,SCL,Silchar,BZA,Vijayawada,CC,119,5,5,94.39,480,5%
86561,Chennai Central-Visakhapatnam Intercity Express,MAS,Chennai Central,VSKP,Visakhapatnam,3A,95,5,12,98.06,228,30.72%
66925,Kolkata-Visakhapatnam Intercity Express,KOAA,Kolkata,VSKP,Visakhapatnam,2S,23,0,6,77.89,150,64.94%
41212,Rourkela-Kochuveli Superfast Express,ROU,Rourkela,KCVL,Kochuveli,1A,47,5,11,98.95,471,5%
14105,Ahmedabad-Delhi Jn Express,ADI,Ahmedabad,DLI,Delhi Jn,3A,22,0,2,60.38,402,27.96%
78550,Puri-Hazrat Nizamuddin Express,PURI,Puri,NZM,Hazrat Nizamuddin,3A,86,1,1,84.06,305,24.75%
90610,Ernakulam Jn-New Jalpaiguri Express,ERS,Ernakulam Jn,NJP,New Jalpaiguri,1A,110,5,2,68.96,131,39.53%
71918,Dibrugarh-Bikaner Intercity Express,DBRG,Dibrugarh,BKN,Bikaner,3A,6,3,11,89.51,275,51.95%
90318,Dibrugarh-Secunderabad Intercity Express,DBRG,Dibrugarh,SC,Secunderabad,3A,55,2,5,91.34,139,58.69%
10942,Sampark Kranti Express 2,ADI,Ahmedabad,BPL,Bhopal,1A,37,0,1,60.54,455,9.76%
63896,Gaya Jn-Chennai Central Superfast Express,GAYA,Gaya Jn,MAS,Chennai Central,3A,79,3,7,93.97,128,52.62%
46010,Chhatrapati Shivaji Maharaj Terminus-Guwahati Mail Express,CSMT,Chhatrapati Shivaji Maharaj Terminus,GHY,Guwahati,3A,103,3,6,89.27,274,16.7%
40417,Rourkela-Patna Jn Intercity Express,ROU,Rourkela,PNBE,Patna Jn,1A,70,4,10,71.28,458,5%
68240,Bangalore City-Amritsar Express,SBC,Bangalore City,ASR,Amritsar,SL,56,3,1,77.0,161,50.33%
